NVERTICI:20
VERTICI (id,domanda)
0,0
1,54
2,3
3,3
4,33
5,44
6,62
7,99
8,1
9,89
10,47
11,98
12,65
13,84
14,86
15,65
16,82
17,30
18,22
19,18
ARCHI (id origine, id destinazione, peso)
0,0,65535
0,1,96
0,2,10
0,3,6
0,4,85
0,5,6
0,6,60
0,7,33
0,8,44
0,9,85
0,10,19
0,11,54
0,12,13
0,13,34
0,14,66
0,15,86
0,16,91
0,17,83
0,18,31
0,19,53
1,0,15
1,1,65535
1,2,37
1,3,99
1,4,45
1,5,21
1,6,53
1,7,23
1,8,13
1,9,7
1,10,22
1,11,74
1,12,86
1,13,1
1,14,84
1,15,19
1,16,37
1,17,79
1,18,57
1,19,97
2,0,5
2,1,46
2,2,65535
2,3,95
2,4,12
2,5,85
2,6,75
2,7,31
2,8,87
2,9,54
2,10,91
2,11,25
2,12,64
2,13,26
2,14,75
2,15,1
2,16,72
2,17,60
2,18,7
2,19,54
3,0,100
3,1,40
3,2,67
3,3,65535
3,4,90
3,5,17
3,6,89
3,7,36
3,8,56
3,9,9
3,10,13
3,11,64
3,12,72
3,13,18
3,14,67
3,15,96
3,16,58
3,17,63
3,18,90
3,19,32
4,0,12
4,1,91
4,2,47
4,3,42
4,4,65535
4,5,95
4,6,72
4,7,31
4,8,36
4,9,22
4,10,82
4,11,42
4,12,22
4,13,90
4,14,59
4,15,48
4,16,45
4,17,9
4,18,67
4,19,69
5,0,41
5,1,48
5,2,21
5,3,30
5,4,67
5,5,65535
5,6,77
5,7,2
5,8,17
5,9,73
5,10,1
5,11,68
5,12,33
5,13,47
5,14,92
5,15,44
5,16,11
5,17,1
5,18,47
5,19,8
6,0,96
6,1,60
6,2,49
6,3,2
6,4,33
6,5,10
6,6,65535
6,7,6
6,8,90
6,9,88
6,10,92
6,11,24
6,12,82
6,13,89
6,14,74
6,15,69
6,16,11
6,17,52
6,18,46
6,19,85
7,0,75
7,1,75
7,2,40
7,3,69
7,4,25
7,5,51
7,6,30
7,7,65535
7,8,13
7,9,35
7,10,90
7,11,60
7,12,45
7,13,80
7,14,90
7,15,51
7,16,69
7,17,43
7,18,70
7,19,43
8,0,4
8,1,21
8,2,47
8,3,71
8,4,26
8,5,92
8,6,82
8,7,61
8,8,65535
8,9,43
8,10,47
8,11,21
8,12,4
8,13,100
8,14,27
8,15,15
8,16,61
8,17,73
8,18,11
8,19,56
9,0,6
9,1,70
9,2,97
9,3,46
9,4,52
9,5,26
9,6,62
9,7,82
9,8,19
9,9,65535
9,10,67
9,11,41
9,12,68
9,13,48
9,14,31
9,15,15
9,16,76
9,17,61
9,18,13
9,19,94
10,0,44
10,1,46
10,2,8
10,3,94
10,4,76
10,5,18
10,6,34
10,7,18
10,8,91
10,9,47
10,10,65535
10,11,84
10,12,48
10,13,32
10,14,16
10,15,54
10,16,99
10,17,12
10,18,9
10,19,69
11,0,82
11,1,89
11,2,3
11,3,19
11,4,35
11,5,42
11,6,17
11,7,100
11,8,16
11,9,67
11,10,6
11,11,65535
11,12,7
11,13,66
11,14,79
11,15,5
11,16,42
11,17,93
11,18,55
11,19,75
12,0,80
12,1,90
12,2,49
12,3,90
12,4,9
12,5,89
12,6,89
12,7,7
12,8,36
12,9,74
12,10,9
12,11,8
12,12,65535
12,13,46
12,14,39
12,15,21
12,16,47
12,17,72
12,18,89
12,19,32
13,0,55
13,1,75
13,2,2
13,3,97
13,4,8
13,5,91
13,6,55
13,7,47
13,8,15
13,9,13
13,10,22
13,11,58
13,12,27
13,13,65535
13,14,54
13,15,71
13,16,53
13,17,27
13,18,67
13,19,75
14,0,72
14,1,90
14,2,25
14,3,54
14,4,78
14,5,94
14,6,40
14,7,31
14,8,59
14,9,34
14,10,70
14,11,74
14,12,37
14,13,73
14,14,65535
14,15,40
14,16,29
14,17,6
14,18,34
14,19,54
15,0,18
15,1,42
15,2,35
15,3,2
15,4,46
15,5,62
15,6,11
15,7,74
15,8,2
15,9,58
15,10,92
15,11,68
15,12,26
15,13,65
15,14,12
15,15,65535
15,16,3
15,17,86
15,18,50
15,19,5
16,0,32
16,1,99
16,2,56
16,3,36
16,4,11
16,5,63
16,6,92
16,7,87
16,8,68
16,9,6
16,10,86
16,11,82
16,12,89
16,13,31
16,14,56
16,15,30
16,16,65535
16,17,29
16,18,84
16,19,59
17,0,68
17,1,8
17,2,41
17,3,82
17,4,15
17,5,57
17,6,91
17,7,98
17,8,91
17,9,3
17,10,56
17,11,94
17,12,85
17,13,70
17,14,62
17,15,66
17,16,88
17,17,65535
17,18,33
17,19,1
18,0,74
18,1,57
18,2,43
18,3,94
18,4,66
18,5,87
18,6,48
18,7,17
18,8,35
18,9,89
18,10,46
18,11,26
18,12,45
18,13,48
18,14,89
18,15,84
18,16,100
18,17,39
18,18,65535
18,19,3
19,0,78
19,1,14
19,2,100
19,3,14
19,4,55
19,5,34
19,6,17
19,7,27
19,8,21
19,9,2
19,10,23
19,11,45
19,12,11
19,13,16
19,14,47
19,15,56
19,16,6
19,17,88
19,18,21
19,19,65535
