NVERTICI:50
VERTICI (id,domanda)
0,0
1,31
2,21
3,96
4,1
5,37
6,69
7,69
8,55
9,11
10,99
11,5
12,24
13,49
14,40
15,41
16,40
17,37
18,49
19,89
20,78
21,71
22,52
23,33
24,6
25,57
26,81
27,89
28,6
29,18
30,79
31,40
32,38
33,59
34,12
35,26
36,17
37,53
38,43
39,35
40,3
41,95
42,9
43,83
44,32
45,51
46,78
47,18
48,12
49,19
ARCHI (id origine, id destinazione, peso)
0,0,65535
0,1,92
0,2,29
0,3,71
0,4,54
0,5,10
0,6,45
0,7,100
0,8,41
0,9,43
0,10,42
0,11,65
0,12,56
0,13,70
0,14,48
0,15,73
0,16,42
0,17,68
0,18,41
0,19,63
0,20,33
0,21,17
0,22,78
0,23,73
0,24,25
0,25,63
0,26,83
0,27,2
0,28,52
0,29,93
0,30,55
0,31,15
0,32,54
0,33,87
0,34,52
0,35,91
0,36,41
0,37,70
0,38,75
0,39,75
0,40,15
0,41,26
0,42,41
0,43,70
0,44,78
0,45,32
0,46,10
0,47,59
0,48,39
0,49,31
1,0,52
1,1,65535
1,2,47
1,3,5
1,4,23
1,5,5
1,6,19
1,7,90
1,8,93
1,9,36
1,10,2
1,11,42
1,12,80
1,13,77
1,14,85
1,15,63
1,16,29
1,17,65
1,18,64
1,19,70
1,20,47
1,21,14
1,22,63
1,23,75
1,24,60
1,25,86
1,26,72
1,27,52
1,28,28
1,29,87
1,30,2
1,31,16
1,32,54
1,33,96
1,34,53
1,35,64
1,36,3
1,37,62
1,38,31
1,39,28
1,40,22
1,41,94
1,42,84
1,43,7
1,44,100
1,45,98
1,46,60
1,47,26
1,48,38
1,49,11
2,0,95
2,1,38
2,2,65535
2,3,32
2,4,6
2,5,68
2,6,84
2,7,59
2,8,79
2,9,20
2,10,47
2,11,20
2,12,36
2,13,60
2,14,28
2,15,21
2,16,89
2,17,50
2,18,14
2,19,98
2,20,42
2,21,24
2,22,40
2,23,89
2,24,1
2,25,71
2,26,46
2,27,85
2,28,25
2,29,47
2,30,18
2,31,87
2,32,17
2,33,75
2,34,15
2,35,55
2,36,60
2,37,24
2,38,1
2,39,90
2,40,95
2,41,83
2,42,25
2,43,79
2,44,24
2,45,89
2,46,71
2,47,58
2,48,67
2,49,61
3,0,67
3,1,45
3,2,90
3,3,65535
3,4,91
3,5,94
3,6,7
3,7,24
3,8,61
3,9,94
3,10,56
3,11,28
3,12,49
3,13,43
3,14,46
3,15,25
3,16,81
3,17,14
3,18,59
3,19,55
3,20,20
3,21,36
3,22,9
3,23,100
3,24,52
3,25,69
3,26,97
3,27,47
3,28,98
3,29,53
3,30,32
3,31,33
3,32,85
3,33,70
3,34,44
3,35,32
3,36,82
3,37,32
3,38,42
3,39,25
3,40,99
3,41,22
3,42,95
3,43,100
3,44,82
3,45,44
3,46,81
3,47,77
3,48,70
3,49,15
4,0,65
4,1,71
4,2,81
4,3,39
4,4,65535
4,5,51
4,6,1
4,7,23
4,8,99
4,9,26
4,10,59
4,11,17
4,12,51
4,13,97
4,14,65
4,15,63
4,16,79
4,17,61
4,18,23
4,19,99
4,20,48
4,21,77
4,22,43
4,23,93
4,24,78
4,25,70
4,26,60
4,27,40
4,28,87
4,29,20
4,30,46
4,31,59
4,32,94
4,33,48
4,34,5
4,35,92
4,36,42
4,37,62
4,38,14
4,39,47
4,40,73
4,41,43
4,42,9
4,43,79
4,44,97
4,45,51
4,46,37
4,47,31
4,48,83
4,49,67
5,0,25
5,1,11
5,2,63
5,3,21
5,4,54
5,5,65535
5,6,100
5,7,43
5,8,45
5,9,11
5,10,54
5,11,54
5,12,24
5,13,76
5,14,22
5,15,93
5,16,42
5,17,1
5,18,50
5,19,73
5,20,18
5,21,12
5,22,56
5,23,78
5,24,67
5,25,15
5,26,93
